file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,isize,psize,size,options,read_time1,write_time1,read_time2,write_time2,read_time3,write_time3,read_time4,write_time4,read_time5,write_time5,read_time6,write_time6,read_time7,write_time7,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,rate_iops,rate_objs,total_time
passthrough_fh-tmpfs-1-500-1000-1.txt,,,,,,passthrough_fh,tmpfs,1,,,500,1000,,md,2.8680e-06,4.1770e-06,3.0430e-06,4.4610e-06,3.1305e-06,4.6060e-06,3.2570e-06,4.8270e-06,3.4470e-06,5.8050e-06,1.3140e-05,1.4844e-05,1.3320e-05,1.7538e-05,,,,,,,,,1,288430.1,72107.5,0
passthrough_fh-tmpfs-1-500-1000-2.txt,,,,,,passthrough_fh,tmpfs,1,,,500,1000,,md,2.9830e-06,4.3290e-06,3.1950e-06,4.6320e-06,3.2970e-06,4.9570e-06,3.3980e-06,5.1180e-06,3.5350e-06,5.4920e-06,4.5490e-06,8.4850e-06,1.3072e-05,9.6340e-06,,,,,,,,,2,571284.4,142821.1,0
passthrough_fh-tmpfs-1-500-1000-2.txt,,,,,,passthrough_fh,tmpfs,1,,,500,1000,,md,2.9830e-06,4.3290e-06,3.1950e-06,4.6320e-06,3.2970e-06,4.9570e-06,3.3980e-06,5.1180e-06,3.5350e-06,5.4920e-06,4.5490e-06,8.4850e-06,1.3072e-05,9.6340e-06,,,,,,,,,2,571284.4,142821.1,0
passthrough_fh-tmpfs-2-200-1000-1.txt,,,,,,passthrough_fh,tmpfs,2,,,200,1000,,md,2.9260e-06,4.2610e-06,3.2680e-06,4.7180e-06,3.6590e-06,5.4340e-06,4.6930e-06,6.6370e-06,5.0590e-06,7.4390e-06,6.4880e-06,8.3490e-06,7.3890e-06,1.7464e-05,,,,,,,,,1,260207.7,65051.9,0
passthrough_fh-tmpfs-2-200-1000-1.txt,,,,,,passthrough_fh,tmpfs,2,,,200,1000,,md,2.9260e-06,4.2610e-06,3.2680e-06,4.7180e-06,3.6590e-06,5.4340e-06,4.6930e-06,6.6370e-06,5.0590e-06,7.4390e-06,6.4880e-06,8.3490e-06,7.3890e-06,1.7464e-05,,,,,,,,,1,260207.7,65051.9,0
passthrough_fh-tmpfs-2-200-1000-2.txt,,,,,,passthrough_fh,tmpfs,2,,,200,1000,,md,2.8430e-06,4.0980e-06,3.0350e-06,4.3190e-06,3.1045e-06,4.4065e-06,3.1960e-06,4.5590e-06,3.3640e-06,4.8480e-06,5.5230e-06,8.5340e-06,1.9998e-05,2.1340e-05,,,,,,,,,2,627638.3,156909.6,0
passthrough_fh-tmpfs-2-200-1000-2.txt,,,,,,passthrough_fh,tmpfs,2,,,200,1000,,md,2.8430e-06,4.0980e-06,3.0350e-06,4.3190e-06,3.1045e-06,4.4065e-06,3.1960e-06,4.5590e-06,3.3640e-06,4.8480e-06,5.5230e-06,8.5340e-06,1.9998e-05,2.1340e-05,,,,,,,,,2,627638.3,156909.6,0
passthrough_fh-tmpfs-2-500-1000-1.txt,,,,,,passthrough_fh,tmpfs,2,,,500,1000,,md,2.9100e-06,4.3920e-06,3.0620e-06,4.6140e-06,3.1255e-06,4.7420e-06,3.2730e-06,4.9760e-06,3.6860e-06,6.2670e-06,4.9890e-06,9.8640e-06,1.8662e-05,1.9937e-05,,,,,,,,,1,300471.1,75117.8,0
passthrough_fh-tmpfs-2-500-1000-1.txt,,,,,,passthrough_fh,tmpfs,2,,,500,1000,,md,2.9100e-06,4.3920e-06,3.0620e-06,4.6140e-06,3.1255e-06,4.7420e-06,3.2730e-06,4.9760e-06,3.6860e-06,6.2670e-06,4.9890e-06,9.8640e-06,1.8662e-05,1.9937e-05,,,,,,,,,1,300471.1,75117.8,0
passthrough_fh-tmpfs-2-500-1000-2.txt,,,,,,passthrough_fh,tmpfs,2,,,500,1000,,md,2.9630e-06,4.3130e-06,3.2100e-06,4.5600e-06,4.1985e-06,6.6890e-06,4.6960e-06,7.4490e-06,4.9350e-06,7.8200e-06,6.4500e-06,1.1534e-05,1.0245e-05,2.8046e-05,,,,,,,,,2,406640.0,101660.0,0
