file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,isize,psize,size,options,read_time1,write_time1,read_time2,write_time2,read_time3,write_time3,read_time4,write_time4,read_time5,write_time5,read_time6,write_time6,read_time7,write_time7,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,rate_iops,rate_objs,total_time
passthrough-fuse-2-500-1000-1.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,8.4898e-05,9.2891e-05,9.2229e-05,1.0167e-04,9.3326e-05,1.0323e-04,9.4606e-05,1.0524e-04,1.0852e-04,1.2013e-04,1.6365e-04,1.5533e-04,2.6145e-04,1.9705e-04,,,,,,,,,1,11423.0,2855.7,1
passthrough-fuse-2-500-1000-1.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,8.4898e-05,9.2891e-05,9.2229e-05,1.0167e-04,9.3326e-05,1.0323e-04,9.4606e-05,1.0524e-04,1.0852e-04,1.2013e-04,1.6365e-04,1.5533e-04,2.6145e-04,1.9705e-04,,,,,,,,,1,11423.0,2855.7,1
passthrough-fuse-2-500-1000-2.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,1.0196e-04,1.0821e-04,1.2113e-04,1.3319e-04,1.2678e-04,1.3911e-04,1.3199e-04,1.4481e-04,1.3901e-04,1.5318e-04,1.6820e-04,2.0006e-04,2.6185e-04,1.1806e-03,,,,,,,,,2,17233.9,4308.5,1
passthrough-fuse-2-500-1000-2.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,1.0196e-04,1.0821e-04,1.2113e-04,1.3319e-04,1.2678e-04,1.3911e-04,1.3199e-04,1.4481e-04,1.3901e-04,1.5318e-04,1.6820e-04,2.0006e-04,2.6185e-04,1.1806e-03,,,,,,,,,2,17233.9,4308.5,0
passthrough-fuse-2-500-1000-3.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,1.2063e-04,1.3358e-04,1.5170e-04,1.6534e-04,1.6351e-04,1.7813e-04,1.7884e-04,1.9355e-04,1.9367e-04,2.1017e-04,2.3786e-04,2.7352e-04,6.2948e-04,2.2223e-03,,,,,,,,,3,19675.9,4919.0,0
passthrough-fuse-2-500-1000-3.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,1.2063e-04,1.3358e-04,1.5170e-04,1.6534e-04,1.6351e-04,1.7813e-04,1.7884e-04,1.9355e-04,1.9367e-04,2.1017e-04,2.3786e-04,2.7352e-04,6.2948e-04,2.2223e-03,,,,,,,,,3,19675.9,4919.0,1
passthrough-fuse-2-500-1000-4.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,1.0241e-04,1.1689e-04,1.6670e-04,1.8667e-04,1.8803e-04,2.1062e-04,2.1517e-04,2.4229e-04,2.4588e-04,2.8034e-04,3.3169e-04,3.8564e-04,4.4236e-04,1.8723e-03,,,,,,,,,4,22046.9,5511.7,1
passthrough-fuse-2-500-1000-4.txt,,,,,,passthrough,fuse,2,,,500,1000,,md,1.0241e-04,1.1689e-04,1.6670e-04,1.8667e-04,1.8803e-04,2.1062e-04,2.1517e-04,2.4229e-04,2.4588e-04,2.8034e-04,3.3169e-04,3.8564e-04,4.4236e-04,1.8723e-03,,,,,,,,,4,22046.9,5511.7,1
passthrough-fuse-3-200-1000-1.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,8.9624e-05,9.8199e-05,9.2730e-05,1.0169e-04,9.3885e-05,1.0314e-04,9.6223e-05,1.0478e-04,1.1069e-04,1.1528e-04,1.6235e-04,2.0271e-04,1.6335e-04,2.0639e-04,,,,,,,,,1,11372.1,2843.0,1
passthrough-fuse-3-200-1000-1.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,8.9624e-05,9.8199e-05,9.2730e-05,1.0169e-04,9.3885e-05,1.0314e-04,9.6223e-05,1.0478e-04,1.1069e-04,1.1528e-04,1.6235e-04,2.0271e-04,1.6335e-04,2.0639e-04,,,,,,,,,1,11372.1,2843.0,0
passthrough-fuse-3-200-1000-2.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,1.0567e-04,1.1037e-04,1.2252e-04,1.3363e-04,1.2791e-04,1.4009e-04,1.3324e-04,1.4512e-04,1.3920e-04,1.5246e-04,1.8087e-04,1.8205e-04,1.9681e-04,2.3561e-04,,,,,,,,,2,17273.5,4318.4,0
passthrough-fuse-3-200-1000-2.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,1.0567e-04,1.1037e-04,1.2252e-04,1.3363e-04,1.2791e-04,1.4009e-04,1.3324e-04,1.4512e-04,1.3920e-04,1.5246e-04,1.8087e-04,1.8205e-04,1.9681e-04,2.3561e-04,,,,,,,,,2,17273.5,4318.4,0
passthrough-fuse-3-200-1000-3.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,1.2170e-04,1.3366e-04,1.5027e-04,1.6509e-04,1.6317e-04,1.7718e-04,1.7790e-04,1.9212e-04,1.9656e-04,2.0946e-04,2.2737e-04,2.5834e-04,3.4117e-04,5.6055e-04,,,,,,,,,3,19866.1,4966.5,0
passthrough-fuse-3-200-1000-3.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,1.2170e-04,1.3366e-04,1.5027e-04,1.6509e-04,1.6317e-04,1.7718e-04,1.7790e-04,1.9212e-04,1.9656e-04,2.0946e-04,2.2737e-04,2.5834e-04,3.4117e-04,5.6055e-04,,,,,,,,,3,19866.1,4966.5,1
passthrough-fuse-3-200-1000-4.txt,,,,,,passthrough,fuse,3,,,200,1000,,md,1.2316e-04,1.4239e-04,1.7150e-04,1.8942e-04,1.9349e-04,2.1140e-04,2.2673e-04,2.4333e-04,2.5463e-04,2.8250e-04,3.2188e-04,3.6711e-04,4.4212e-04,6.6612e-04,,,,,,,,,4,21790.5,5447.6,1
